model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,AutoPGD,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,AutoPGD,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,HopSkipJump,0,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,BIM,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,BIM,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,BIM,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,BIM,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,FGSM,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,FGSM,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
